Plot,Species,Canopy,Aobs,g,Ci,VpdL,Tleaf,H2OR,H2OS,Flow,PAR,Press,Curve
11,2,1,14.3,0.241,871,0.495,24.92,25.712,27.049,500.3,2000,98.7,4
11,2,1,13.7,0.235,875,0.455,24.85,26.116,27.32,500.1,1799,98.69,4
11,2,1,13.2,0.184,854,0.476,24.88,26.165,27.165,500.4,1501,98.69,4
11,2,1,12.1,0.143,835,0.498,24.99,26.33,27.155,500.3,1001,98.69,4
11,2,1,12,0.112,799,0.497,24.97,26.474,27.127,500.3,800,98.69,4
11,2,1,11.1,0.104,801,0.511,25.06,26.535,27.158,500,498,98.69,4
11,2,1,8.13,0.0672,784,0.524,25.03,26.551,26.97,500.5,200,98.69,4
11,2,1,5.37,0.0496,808,0.566,25.21,26.56,26.896,500,100,98.68,4
11,2,1,2.92,0.0343,849,0.593,25.38,26.707,26.952,500.6,50,98.67,4
11,2,1,0.00495,0.0262,989,0.598,25.42,26.786,26.975,500.3,0,98.68,4
9,2,2,8.58,0.0323,532,2.2,27.78,14.858,15.721,499.8,1999,98.65,5
9,2,2,8.54,0.024,384,2.76,30.05,14.551,15.36,500.2,1800,98.64,5
9,2,2,8.38,0.021,316,2.86,30.34,14.265,15.002,500.3,1502,98.65,5
9,2,2,8.12,0.0178,227,2.95,30.57,14.061,14.706,500.4,999,98.64,5
9,2,2,7.89,0.0166,198,2.97,30.58,13.958,14.564,500.4,801,98.64,5
9,2,2,7.28,0.0143,142,3.02,30.69,13.789,14.318,500.5,500,98.64,5
9,2,2,5.23,0.00985,114,3.05,30.75,13.773,14.143,500.6,200,98.65,5
9,2,2,2.91,0.00578,153,3.76,33.3,13.662,13.931,500.5,99,98.66,5
9,2,2,1.76,0.00469,357,3.35,31.76,13.578,13.772,500.5,51,98.65,5
9,2,2,0.0745,0.00323,916,2.99,30.31,13.553,13.672,500.7,0,98.64,5
9,2,2,8.71,0.0118,-245,7.14,42.7,13.298,14.349,502.8,2000,98.63,6
9,2,2,8.53,0.0108,-320,7,42.35,13.255,14.201,501.8,1799,98.63,6
9,2,2,8.04,0.0102,-312,6.72,41.69,13.171,14.04,496.3,1500,98.63,6
9,2,2,7.71,0.00914,-395,6.53,41.19,13.11,13.861,499,1001,98.62,6
9,2,2,7.38,0.00817,-486,6.55,41.22,13.116,13.788,499.8,799,98.61,6
9,2,2,6.73,0.00704,-565,6.54,41.18,13.136,13.714,500.5,500,98.62,6
9,2,2,4.13,0.00537,-278,6.4,40.82,13.251,13.682,500.4,199,98.62,6
9,2,2,2.98,0.00429,-161,6.47,40.96,13.116,13.465,500.5,101,98.63,6
9,2,2,1.79,0.0038,179,6.59,41.21,13.012,13.327,500.3,50,98.63,6
9,2,2,-0.139,0.0029,969,6.41,40.77,13.11,13.343,500.4,0,98.62,6
9,1,2,6.06,0.035,692,1.44,24.84,16.524,17.131,499.3,1999,99.6,7
9,1,2,6.15,0.0304,646,1.44,24.88,16.673,17.199,500.3,1800,99.6,7
9,1,2,5.86,0.0274,629,1.44,24.93,16.859,17.334,500.1,1500,99.59,7
9,1,2,5.51,0.0237,600,1.43,24.91,17.032,17.439,500.6,999,99.57,7
9,1,2,5.4,0.0236,605,1.42,24.95,17.213,17.615,499.6,800,99.57,7
9,1,2,5.35,0.023,600,1.41,24.96,17.331,17.721,499.6,500,99.55,7
9,1,2,4.86,0.0215,612,1.39,24.95,17.475,17.837,499.5,200,99.54,7
9,1,2,3.64,0.0185,660,1.36,24.94,17.879,18.183,499.6,100,99.54,7
9,1,2,2.14,0.0175,780,1.36,25,18.002,18.289,499.5,50,99.54,7
9,1,2,-0.0515,0.0134,983,1.34,24.96,18.158,18.376,499.4,0,99.54,7
9,1,2,3.82,0.0348,805,0.901,24.99,22.54,22.884,500,1999,99.5,8
9,1,2,3.77,0.0323,793,0.916,25.03,22.485,22.809,500.4,1799,99.49,8
9,1,2,3.64,0.0287,777,0.925,25.05,22.462,22.753,500.4,1500,99.51,8
9,1,2,3.59,0.0232,733,0.929,25.07,22.516,22.753,500.9,1000,99.52,8
9,1,2,3.51,0.0224,730,0.931,25.1,22.556,22.786,499.7,800,99.52,8
9,1,2,3.58,0.0177,657,0.929,25.11,22.642,22.823,500.5,500,99.51,8
9,1,2,3.25,0.016,656,0.922,25.11,22.736,22.898,501.1,200,99.5,8
9,1,2,2.92,0.0148,667,0.915,25.12,22.835,22.985,499.4,100,99.5,8
9,1,2,1.98,0.0119,718,0.91,25.12,22.916,23.036,499.9,50,99.5,8
9,1,2,0.163,0.00994,958,0.9,25.09,22.98,23.079,499.5,0,99.5,8
9,1,2,3.48,0.0349,820,0.998,25.68,22.934,23.26,500.4,1998,99.45,9
9,1,2,3.34,0.0369,835,1.01,25.71,22.874,23.222,500.4,1800,99.44,9
9,1,2,3.29,0.0351,830,1.02,25.73,22.757,23.094,500.4,1499,99.44,9
9,1,2,3.12,0.0323,825,1.04,25.75,22.648,22.963,500.6,999,99.44,9
9,1,2,3.29,0.032,815,1.06,25.78,22.504,22.822,500.4,800,99.44,9
9,1,2,3.31,0.0282,792,1.07,25.8,22.483,22.767,500.4,499,99.43,9
9,1,2,3.27,0.0266,782,1.08,25.82,22.454,22.724,500.4,202,99.44,9
9,1,2,2.77,0.0248,801,1.08,25.84,22.465,22.718,500.3,100,99.43,9
9,1,2,1.58,0.0222,867,1.06,25.7,22.452,22.674,500.1,51,99.43,9
9,1,2,-0.432,0.0147,1.03E+03,1.09,25.79,22.448,22.599,500.1,0,99.42,9
5,2,2,10.9,0.0358,476,1.39,24.94,17.421,18.021,500.6,2000,98.82,10
5,2,2,10.8,0.0349,472,1.39,24.93,17.4,17.986,500,1799,98.82,10
5,2,2,10.8,0.0317,422,1.4,24.97,17.445,17.98,500.4,1500,98.82,10
5,2,2,9.89,0.0262,363,1.4,24.97,17.483,17.928,500.1,999,98.82,10
5,2,2,9.6,0.022,269,1.4,25,17.612,17.986,500.3,800,98.82,10
5,2,2,8.62,0.0198,272,1.4,25,17.705,18.04,500.5,499,98.83,10
5,2,2,5.79,0.0142,322,1.41,25.02,17.744,17.987,500.3,199,98.82,10
5,2,2,3.19,0.00985,460,1.41,25.03,17.818,17.987,500.3,100,98.82,10
5,2,2,1.85,0.00709,562,1.4,25.04,17.992,18.113,500.5,49,98.82,10
5,2,2,-0.258,0.00566,1.05E+03,1.38,25,18.105,18.201,500.6,0,98.81,10
5,2,2,10.5,0.0495,627,1.19,25.02,19.461,20.168,500.2,1999,98.84,11
5,2,2,10.9,0.0521,632,1.18,25.03,19.595,20.33,500,1800,98.86,11
5,2,2,10.8,0.0482,609,1.18,25.06,19.629,20.313,500.3,1499,98.86,11
5,2,2,10.1,0.0385,546,1.19,25.08,19.742,20.293,500.4,1000,98.86,11
5,2,2,9.52,0.0348,531,1.18,25.08,19.868,20.364,500.5,800,98.86,11
5,2,2,8.66,0.0281,478,1.18,25.1,20.001,20.402,500.4,500,98.86,11
5,2,2,5.5,0.0186,502,1.19,25.08,20.056,20.324,500.4,200,98.85,11
5,2,2,3.14,0.0117,548,1.2,25.09,20.075,20.245,500.7,99,98.86,11
5,2,2,1.84,0.00956,672,1.19,25.11,20.182,20.32,500.6,49,98.87,11
5,2,2,-0.332,0.0066,1.06E+03,1.19,25.09,20.196,20.292,500.4,0,98.87,11
25,1,1,4.45,0.0251,676,2.43,26.54,10.155,10.703,500,1999,97.98,12
25,1,1,4.72,0.0239,644,2.39,26.36,10.263,10.774,500.4,1800,97.98,12
25,1,1,4.33,0.0231,661,2.31,25.99,10.368,10.845,500.2,1501,97.99,12
25,1,1,4.37,0.0224,650,2.19,25.41,10.439,10.878,500.2,999,97.98,12
25,1,1,4.06,0.022,669,2.14,25.18,10.526,10.948,500.4,800,97.98,12
25,1,1,3.99,0.0205,653,2.08,24.86,10.602,10.983,500.2,501,97.99,12
25,1,1,3.59,0.0199,677,2.01,24.52,10.71,11.067,500.5,199,97.99,12
25,1,1,2.68,0.0181,730,1.98,24.46,10.849,11.17,500.2,101,97.99,12
25,1,1,1.94,0.0156,769,1.96,24.39,10.989,11.263,500.5,50,97.99,12
25,1,1,-0.475,0.0139,1.02E+03,1.95,24.36,11.138,11.38,500.4,0,97.99,12
25,2,1,10.16666667,0.068266667,714,2.14,26.41333333,11.66433333,13.425,499.4666667,2000,98.31,13
25,2,1,10.06666667,0.0653,705,2.136666667,26.31333333,11.54933333,13.235,499.3666667,1800,98.31,13
25,2,1,9.676666667,0.0616,701.6666667,2.09,25.99333333,11.47333333,13.03166667,499.4333333,1499.666667,98.31,13
25,2,1,9.073333333,0.057933333,705,1.996666667,25.4,11.42533333,12.82366667,499.4666667,1000,98.31,13
25,2,1,8.706666667,0.0547,702.3333333,1.94,25.04666667,11.407,12.692,499.5,800.3333333,98.31666667,13
25,2,1,7.933333333,0.0511,710.6666667,1.886666667,24.68333333,11.38733333,12.555,499.4,500,98.30666667,13
25,2,1,5.893333333,0.044566667,751,1.853333333,24.40333333,11.35466667,12.358,499.6,200,98.31333333,13
25,2,1,3.73,0.038866667,811.3333333,1.846666667,24.28666667,11.34466667,12.21666667,499.5666667,99.33333333,98.31,13
25,2,1,2.133333333,0.034266667,867.6666667,1.853333333,24.30333333,11.37633333,12.151,499.6,50.33333333,98.31333333,13
25,2,1,-0.372333333,0.031466667,988.3333333,1.87,24.35,11.40066667,12.117,499.4666667,0.666666667,98.31333333,13
25,2,1,4.46,0.0563,246,3.51,34.19,16.843,19.253,499.5,1999,98.29,14
25,2,1,4.33,0.0549,246,3.56,34.51,17.263,19.649,500.4,1799,98.29,14
25,2,1,3.96,0.0469,239,3.45,34.08,17.563,19.539,500.4,1500,98.29,14
25,2,1,3.33,0.0426,252,2.97,32.12,17.141,18.687,500.4,1002,98.28,14
25,2,1,3.39,0.0409,246,2.73,30.91,16.56,17.921,500.5,801,98.29,14
25,2,1,3.38,0.0429,253,2.79,31.13,16.397,17.857,500.4,499,98.28,14
25,2,1,2.46,0.0381,276,2.81,31.07,16.218,17.523,500.5,200,98.27,14
25,2,1,1.08,0.0272,316,2.95,31.52,16.235,17.22,500.4,100,98.27,14
25,2,1,0.155,0.0218,370,2.79,30.67,15.935,16.683,500.6,52,98.27,14
25,2,1,-1.19,0.02,477,2.76,30.38,15.585,16.262,500.4,0,98.27,14
25,1,1,2.08,0.0133,684,4.27,36.22,17.411,18.061,500.3,2000,98.22,15
25,1,1,1.95,0.0136,706,4.15,35.89,17.518,18.165,500.1,1801,98.22,15
25,1,1,2.11,0.0127,673,3.93,35.23,17.649,18.219,500,1500,98.21,15
25,1,1,2.1,0.0119,663,3.68,34.44,17.737,18.24,500.4,1000,98.22,15
25,1,1,1.81,0.0123,707,3.55,33.98,17.703,18.2,500.5,801,98.21,15
25,1,1,1.7,0.0118,717,3.43,33.55,17.694,18.156,500.3,499,98.21,15
25,1,1,1.26,0.0109,764,3.31,33.08,17.573,17.985,500.5,200,98.21,15
25,1,1,0.692,0.01,837,3.31,32.98,17.28,17.659,500.9,100,98.21,15
25,1,1,0.168,0.00925,917,3.29,32.81,17.029,17.377,500.4,50,98.21,15
25,1,1,-0.71,0.0089,1.07E+03,3.33,32.9,16.858,17.197,500.5,0,98.21,15
27,1,1,3.283333333,0.028233333,770.6666667,2.453333333,27.2,11.10233333,11.95066667,500.7666667,1999.333333,97.95,16
27,1,1,3.166666667,0.027766667,775.3333333,2.39,26.95333333,11.236,12.049,500.6333333,1800,97.95,16
27,1,1,3.153333333,0.0272,774,2.3,26.54,11.33566667,12.10233333,500.8333333,1500.333333,97.95,16
27,1,1,3.32,0.025933333,755,2.233333333,26.20666667,11.348,12.05833333,500.7333333,1001,97.95,16
27,1,1,3.336666667,0.0248,745.3333333,2.24,26.26333333,11.45633333,12.13766667,500.1,800.3333333,97.95,16
27,1,1,3.113333333,0.0225,740,2.243333333,26.33,11.59033333,12.212,500.2333333,500,97.95,16
27,1,1,2.34,0.020533333,779,2.256666667,26.42333333,11.72233333,12.29166667,500.6,201,97.95333333,16
27,1,1,1.396666667,0.0188,842.3333333,2.256666667,26.47666667,11.87133333,12.394,500,99.66666667,97.96,16
27,1,1,0.902333333,0.017466667,878.3333333,2.26,26.56666667,12.03933333,12.52566667,499.8333333,50.66666667,97.94666667,16
27,1,1,-0.482333333,0.016733333,1006.666667,2.246666667,26.57333333,12.248,12.71133333,500.0333333,0.666666667,97.94,16
27,1,1,7.35,0.033333333,603.3333333,2.28,27.47,13.326,14.25766667,500,2000.666667,97.98,17
27,1,1,6.903333333,0.032,612,2.243333333,27.23,13.227,14.10766667,500.1333333,1800,97.98666667,17
27,1,1,6.89,0.031666667,609.3333333,2.22,27.07,13.18566667,14.04533333,500.2666667,1500,97.98666667,17
27,1,1,6.656666667,0.030233333,607.3333333,2.12,26.53333333,13.13066667,13.91533333,500.0333333,999.3333333,97.98666667,17
27,1,1,6.583333333,0.029166667,599.3333333,2.083333333,26.36,13.16933333,13.914,500.3,799.3333333,97.99,17
27,1,1,6.266666667,0.028266667,606.3333333,2.006666667,26.02,13.25733333,13.953,500.3,500,97.99666667,17
27,1,1,4.943333333,0.0257,656,1.91,25.51666667,13.34266667,13.94433333,500.2333333,199,97.99,17
27,1,1,3.323333333,0.0232,736.3333333,1.88,25.34333333,13.39966667,13.93433333,500.2,100.6666667,97.99,17
27,1,1,2.09,0.021433333,811,1.836666667,25.16,13.535,14.01833333,500.1333333,50,97.99,17
27,1,1,-0.245,0.020533333,988.6666667,1.81,25.06666667,13.62166667,14.079,500.1333333,0,97.99,17
27,2,1,12.6,0.0494,540,2.33,28.74,15.287,16.688,500.2,2001,97.97,18
27,2,1,12,0.0465,537,2.33,28.78,15.384,16.706,500.4,1801,97.97,18
27,2,1,11.4,0.043,529,2.2,28.1,15.333,16.487,500.3,1500,97.97,18
27,2,1,10.6,0.0387,518,2.02,27.09,15.174,16.126,500.4,1000,97.97,18
27,2,1,10.1,0.0358,507,1.96,26.74,15.119,15.975,500.6,800,97.97,18
27,2,1,9.02,0.032,510,1.88,26.37,15.262,16,499.5,500,97.97,18
27,2,1,6.4,0.0269,583,1.84,25.97,15.028,15.634,499.7,200,97.97,18
27,2,1,4.06,0.0209,656,1.8,25.59,14.745,15.206,502.2,100,97.97,18
27,2,1,2.38,0.0175,751,1.8,25.43,14.554,14.94,499.6,49,97.97,18
27,2,1,-0.0946,0.014,981,1.8,25.36,14.489,14.798,499.6,0,97.97,18
22,1,2,5.69,0.0449,763,1.79,25.71,14.921,15.627,500.4,2000,97.8,19
22,1,2,5.68,0.0455,767,1.78,25.7,14.948,15.661,500.3,1799,97.8,19
22,1,2,5.64,0.0451,766,1.78,25.7,14.976,15.682,500.4,1500,97.8,19
22,1,2,5.18,0.0428,773,1.78,25.69,15.009,15.679,500.5,999,97.8,19
22,1,2,4.98,0.0406,770,1.8,25.76,15.011,15.653,500.3,801,97.79,19
22,1,2,4.76,0.0388,770,1.81,25.8,14.936,15.556,500.2,500,97.79,19
22,1,2,3.95,0.0352,786,1.84,25.84,14.837,15.406,500.4,199,97.78,19
22,1,2,3.04,0.0319,815,1.84,25.83,14.832,15.35,500.4,99,97.78,19
22,1,2,2,0.0285,855,1.84,25.79,14.826,15.288,500.3,50,97.78,19
22,1,2,0.259,0.0232,950,1.86,25.84,14.769,15.151,500.7,1,97.78,19
22,1,2,6.03,0.0416,732,1.73,24.84,13.621,14.497,500.2,1999,97.93,20
22,1,2,5.71,0.039,730,1.74,24.85,13.583,14.41,500.3,1801,97.93,20
22,1,2,5.78,0.0378,720,1.75,24.88,13.539,14.347,500.3,1499,97.93,20
22,1,2,5.4,0.0355,722,1.76,24.91,13.519,14.284,500.4,1000,97.93,20
22,1,2,5.64,0.0359,713,1.76,24.91,13.545,14.316,500.4,800,97.92,20
22,1,2,5.33,0.0354,724,1.76,24.94,13.599,14.36,500.5,499,97.92,20
22,1,2,4.45,0.0331,751,1.77,24.96,13.629,14.343,500.5,198,97.91,20
22,1,2,3.47,0.0304,785,1.78,24.98,13.633,14.294,500.5,100,97.92,20
22,1,2,1.99,0.0286,857,1.78,24.96,13.645,14.266,500.4,50,97.91,20
22,1,2,0.204,0.0266,958,1.77,24.9,13.622,14.199,500.3,0,97.91,20
27,1,1,9.97,0.027,354,3.48,29.82,6.366,7.525,500.3,2000,98.15,21
27,1,1,9.73,0.0263,354,3.48,29.81,6.382,7.511,500.2,1799,98.14,21
27,1,1,9.73,0.0253,331,3.48,29.83,6.388,7.477,500.3,1500,98.14,21
27,1,1,8.99,0.0223,301,3.5,29.86,6.385,7.349,500.2,1001,98.14,21
27,1,1,8.48,0.0205,286,3.51,29.87,6.395,7.287,499.9,801,98.15,21
27,1,1,7.88,0.0182,255,3.52,29.86,6.412,7.202,500.4,500,98.15,21
27,1,1,6.15,0.0141,256,3.54,29.9,6.432,7.053,500.3,201,98.14,21
27,1,1,4.85,0.0109,243,3.56,29.9,6.455,6.935,500.5,101,98.14,21
27,1,1,3.98,0.00925,267,3.56,29.91,6.461,6.87,500.5,50,98.14,21
27,1,1,-0.488,0.00721,1.05E+03,3.56,29.85,6.475,6.793,500.3,1,98.13,21
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
